room_no,date,time_slot,booked_by,capacity,occupancy,utilization_pct
Lab 1,2026-07-02,10:00,Course 342,60,23,38.3
Lab 2,2026-07-22,10:00,Course 333,30,4,13.3
Room 101,2026-07-17,08:00,Course 210,30,15,50.0
Lab 2,2026-07-13,10:00,Course 168,60,7,11.7
Lab 2,2026-07-02,14:00,Course 495,30,15,50.0
Room 101,2026-07-27,12:00,Course 244,30,3,10.0
Lab 1,2026-07-04,14:00,Course 301,30,17,56.7
Lab 2,2026-07-04,08:00,Course 180,30,25,83.3
Lab 1,2026-07-09,10:00,Course 374,60,35,58.3
Room 204,2026-07-26,12:00,Course 205,100,79,79.0
Lab 1,2026-07-14,10:00,Course 265,60,59,98.3
Lab 2,2026-07-03,08:00,Course 300,60,16,26.7
Room 204,2026-07-26,12:00,Course 124,200,97,48.5
Lab 1,2026-07-18,08:00,Course 331,30,5,16.7
Conference 1,2026-07-22,12:00,Course 143,40,1,2.5
Auditorium A,2026-07-02,08:00,Course 169,30,8,26.7
Room 204,2026-07-18,08:00,Course 498,40,7,17.5
Seminar 1,2026-07-19,14:00,Course 195,100,19,19.0
Conference 1,2026-07-20,14:00,Course 338,30,20,66.7
Seminar 1,2026-07-04,08:00,Course 227,30,19,63.3
Lab 2,2026-07-01,14:00,Course 457,30,3,10.0
Room 204,2026-07-11,10:00,Course 345,100,51,51.0
Lab 2,2026-07-12,14:00,Course 107,30,11,36.7
Room 204,2026-07-01,12:00,Course 275,60,8,13.3
Auditorium A,2026-07-28,12:00,Course 367,40,1,2.5
Seminar 1,2026-07-05,08:00,Course 412,200,159,79.5
Seminar 1,2026-07-02,10:00,Course 184,30,8,26.7
Auditorium A,2026-07-08,12:00,Course 152,60,33,55.0
Room 204,2026-07-08,14:00,Course 237,60,43,71.7
Lab 2,2026-07-25,10:00,Course 486,30,11,36.7
Conference 1,2026-07-03,10:00,Course 354,40,2,5.0
Auditorium A,2026-07-28,10:00,Course 103,60,2,3.3
Auditorium A,2026-07-07,10:00,Course 335,200,194,97.0
Seminar 1,2026-07-09,14:00,Course 336,200,191,95.5
Lab 2,2026-07-22,14:00,Course 107,40,13,32.5
Conference 1,2026-07-04,08:00,Course 301,30,4,13.3
Lab 1,2026-07-17,08:00,Course 268,40,5,12.5
Conference 1,2026-07-05,10:00,Course 375,30,26,86.7
Room 204,2026-07-22,12:00,Course 188,40,32,80.0
Conference 1,2026-07-28,08:00,Course 414,60,21,35.0
Room 204,2026-07-20,14:00,Course 495,40,19,47.5
Conference 1,2026-07-08,08:00,Course 345,60,26,43.3
Lab 1,2026-07-13,08:00,Course 418,30,25,83.3
Lab 2,2026-07-10,12:00,Course 352,30,27,90.0
Conference 1,2026-07-03,08:00,Course 186,40,35,87.5
Lab 2,2026-07-27,10:00,Course 187,60,31,51.7
Conference 1,2026-07-06,14:00,Course 157,100,94,94.0
Seminar 1,2026-07-10,08:00,Course 498,100,20,20.0
Seminar 1,2026-07-08,10:00,Course 465,200,86,43.0
Seminar 1,2026-07-01,08:00,Course 251,200,86,43.0
Room 204,2026-07-09,10:00,Course 123,30,18,60.0
Auditorium A,2026-07-21,14:00,Course 475,200,147,73.5
Lab 1,2026-07-25,10:00,Course 300,40,20,50.0
Room 101,2026-07-26,08:00,Course 440,60,19,31.7
Lab 1,2026-07-03,12:00,Course 119,30,12,40.0
Seminar 1,2026-07-14,12:00,Course 200,30,30,100.0
Seminar 1,2026-07-24,12:00,Course 422,200,146,73.0
Lab 2,2026-07-06,12:00,Course 201,200,10,5.0
Lab 2,2026-07-06,12:00,Course 278,200,41,20.5
Seminar 1,2026-07-09,14:00,Course 391,30,24,80.0
Lab 2,2026-07-17,12:00,Course 294,40,36,90.0
Lab 1,2026-07-22,08:00,Course 276,40,22,55.0
Room 204,2026-07-18,12:00,Course 252,30,19,63.3
Room 204,2026-07-04,12:00,Course 398,60,8,13.3
Room 204,2026-07-02,12:00,Course 176,30,20,66.7
Lab 2,2026-07-13,12:00,Course 292,60,48,80.0
Lab 2,2026-07-16,12:00,Course 329,100,69,69.0
Room 101,2026-07-18,14:00,Course 402,200,92,46.0
Lab 1,2026-07-10,14:00,Course 119,200,166,83.0
Room 101,2026-07-04,14:00,Course 148,40,28,70.0
Conference 1,2026-07-12,12:00,Course 232,30,22,73.3
Auditorium A,2026-07-14,10:00,Course 143,30,9,30.0
Room 101,2026-07-16,14:00,Course 302,30,12,40.0
Lab 1,2026-07-09,12:00,Course 221,30,16,53.3
Room 101,2026-07-22,12:00,Course 461,100,0,0.0
Lab 1,2026-07-22,12:00,Course 407,40,36,90.0
Auditorium A,2026-07-01,12:00,Course 266,100,30,30.0
Lab 1,2026-07-24,08:00,Course 338,60,3,5.0
Room 204,2026-07-28,10:00,Course 219,40,36,90.0
Lab 2,2026-07-24,12:00,Course 427,60,3,5.0
Room 101,2026-07-24,08:00,Course 278,100,39,39.0
Room 101,2026-07-11,08:00,Course 279,100,83,83.0
Lab 1,2026-07-19,08:00,Course 105,60,31,51.7
Room 101,2026-07-27,12:00,Course 224,40,14,35.0
Auditorium A,2026-07-13,10:00,Course 455,60,47,78.3
Room 204,2026-07-18,14:00,Course 308,60,60,100.0
Lab 1,2026-07-16,14:00,Course 218,40,8,20.0
Room 204,2026-07-06,14:00,Course 409,40,10,25.0
Room 204,2026-07-22,08:00,Course 193,60,5,8.3
Lab 2,2026-07-08,08:00,Course 300,100,68,68.0
Auditorium A,2026-07-17,12:00,Course 290,60,39,65.0
Room 204,2026-07-09,12:00,Course 441,40,35,87.5
Seminar 1,2026-07-24,08:00,Course 276,30,25,83.3
Lab 1,2026-07-05,14:00,Course 366,100,30,30.0
Room 101,2026-07-06,12:00,Course 203,100,96,96.0
Room 101,2026-07-28,10:00,Course 175,30,20,66.7
Lab 1,2026-07-10,14:00,Course 239,60,3,5.0
Room 101,2026-07-18,14:00,Course 417,30,5,16.7
Lab 2,2026-07-19,10:00,Course 385,40,23,57.5
Auditorium A,2026-07-23,10:00,Course 245,60,31,51.7
Room 204,2026-07-20,12:00,Course 496,100,51,51.0
Conference 1,2026-07-04,14:00,Course 209,60,29,48.3
Auditorium A,2026-07-24,10:00,Course 344,40,31,77.5
Lab 1,2026-07-09,12:00,Course 452,100,81,81.0
Conference 1,2026-07-03,08:00,Course 480,100,35,35.0
Room 101,2026-07-06,14:00,Course 175,40,39,97.5
Lab 2,2026-07-14,10:00,Course 137,40,19,47.5
Seminar 1,2026-07-02,14:00,Course 389,200,50,25.0
Room 101,2026-07-04,10:00,Course 209,60,44,73.3
Conference 1,2026-07-06,10:00,Course 153,200,171,85.5
Seminar 1,2026-07-11,08:00,Course 276,200,79,39.5
Room 101,2026-07-12,08:00,Course 477,30,24,80.0
Conference 1,2026-07-01,12:00,Course 459,200,16,8.0
Room 204,2026-07-05,14:00,Course 386,100,53,53.0
Room 101,2026-07-16,10:00,Course 407,100,14,14.0
Lab 2,2026-07-28,12:00,Course 117,200,136,68.0
Room 101,2026-07-21,10:00,Course 209,100,95,95.0
Conference 1,2026-07-23,14:00,Course 164,100,90,90.0
Lab 2,2026-07-23,14:00,Course 497,30,23,76.7
Seminar 1,2026-07-28,14:00,Course 396,100,20,20.0
Room 204,2026-07-06,12:00,Course 261,40,23,57.5
Lab 2,2026-07-10,08:00,Course 493,200,2,1.0
Seminar 1,2026-07-10,12:00,Course 272,60,36,60.0
Seminar 1,2026-07-07,12:00,Course 301,200,162,81.0
Lab 1,2026-07-23,12:00,Course 174,30,13,43.3
Conference 1,2026-07-23,10:00,Course 309,200,131,65.5
Room 101,2026-07-22,14:00,Course 440,30,9,30.0
Room 204,2026-07-11,12:00,Course 111,200,130,65.0
Conference 1,2026-07-10,08:00,Course 432,60,14,23.3
Room 204,2026-07-12,12:00,Course 465,200,81,40.5
Seminar 1,2026-07-21,10:00,Course 201,30,0,0.0
Lab 2,2026-07-13,10:00,Course 482,100,82,82.0
Lab 2,2026-07-02,10:00,Course 385,60,46,76.7
Auditorium A,2026-07-13,08:00,Course 499,60,60,100.0
Room 101,2026-07-04,10:00,Course 428,100,77,77.0
Room 204,2026-07-03,12:00,Course 106,30,24,80.0
Room 101,2026-07-22,08:00,Course 310,100,7,7.0
Seminar 1,2026-07-13,08:00,Course 478,200,193,96.5
Lab 2,2026-07-21,08:00,Course 208,30,0,0.0
Lab 2,2026-07-16,08:00,Course 245,40,31,77.5
Auditorium A,2026-07-12,10:00,Course 329,40,3,7.5
Auditorium A,2026-07-20,10:00,Course 235,40,18,45.0
Lab 1,2026-07-03,12:00,Course 489,100,60,60.0
Lab 1,2026-07-15,10:00,Course 226,60,58,96.7
Auditorium A,2026-07-12,14:00,Course 147,40,27,67.5
Conference 1,2026-07-10,08:00,Course 185,200,159,79.5
Auditorium A,2026-07-03,12:00,Course 176,100,43,43.0
Seminar 1,2026-07-06,12:00,Course 408,100,37,37.0
Seminar 1,2026-07-08,14:00,Course 293,40,32,80.0
Room 204,2026-07-14,08:00,Course 435,100,59,59.0
Room 204,2026-07-10,14:00,Course 236,60,52,86.7
Conference 1,2026-07-10,08:00,Course 391,40,0,0.0
Seminar 1,2026-07-01,14:00,Course 294,200,16,8.0
Room 204,2026-07-28,12:00,Course 274,200,118,59.0
Lab 2,2026-07-14,14:00,Course 368,40,3,7.5
Conference 1,2026-07-24,14:00,Course 377,200,87,43.5
Auditorium A,2026-07-11,10:00,Course 209,100,86,86.0
Lab 2,2026-07-04,12:00,Course 251,30,29,96.7
Lab 2,2026-07-28,14:00,Course 437,60,16,26.7
Room 101,2026-07-24,10:00,Course 105,30,19,63.3
Auditorium A,2026-07-18,14:00,Course 185,60,21,35.0
Auditorium A,2026-07-10,10:00,Course 158,200,2,1.0
Lab 2,2026-07-11,10:00,Course 368,40,12,30.0
Room 204,2026-07-23,14:00,Course 388,60,52,86.7
Room 101,2026-07-06,12:00,Course 377,30,3,10.0
Room 101,2026-07-18,08:00,Course 471,60,30,50.0
Lab 1,2026-07-19,10:00,Course 126,60,38,63.3
Seminar 1,2026-07-16,14:00,Course 340,30,20,66.7
Conference 1,2026-07-08,14:00,Course 492,30,27,90.0
Seminar 1,2026-07-11,12:00,Course 257,60,9,15.0
Room 204,2026-07-19,10:00,Course 451,30,18,60.0
Room 101,2026-07-06,10:00,Course 159,60,26,43.3
Conference 1,2026-07-28,10:00,Course 237,60,29,48.3
Auditorium A,2026-07-04,08:00,Course 366,40,2,5.0
Seminar 1,2026-07-26,08:00,Course 298,200,157,78.5
Room 204,2026-07-24,14:00,Course 302,30,14,46.7
Conference 1,2026-07-20,08:00,Course 382,200,94,47.0
Auditorium A,2026-07-03,12:00,Course 410,200,103,51.5
Lab 2,2026-07-07,10:00,Course 418,60,40,66.7
Room 101,2026-07-20,10:00,Course 341,40,11,27.5
Conference 1,2026-07-13,08:00,Course 320,40,32,80.0
Room 101,2026-07-11,12:00,Course 304,60,34,56.7
Seminar 1,2026-07-01,08:00,Course 463,30,26,86.7
Lab 2,2026-07-13,14:00,Course 267,200,39,19.5
Lab 2,2026-07-16,12:00,Course 208,40,33,82.5
Lab 1,2026-07-02,10:00,Course 246,100,21,21.0
Room 204,2026-07-23,08:00,Course 126,200,66,33.0
Lab 1,2026-07-14,14:00,Course 260,60,15,25.0
Room 101,2026-07-26,12:00,Course 223,40,31,77.5
Lab 1,2026-07-16,08:00,Course 139,30,25,83.3
Lab 2,2026-07-06,08:00,Course 349,100,81,81.0
Lab 2,2026-07-08,08:00,Course 438,60,17,28.3
Lab 2,2026-07-27,10:00,Course 265,40,9,22.5
Auditorium A,2026-07-08,08:00,Course 218,40,32,80.0
Room 101,2026-07-11,08:00,Course 462,100,96,96.0
Seminar 1,2026-07-22,08:00,Course 442,60,5,8.3
Conference 1,2026-07-23,12:00,Course 376,200,3,1.5
Auditorium A,2026-07-17,12:00,Course 126,200,23,11.5
Room 204,2026-07-12,10:00,Course 431,100,87,87.0
Lab 2,2026-07-24,12:00,Course 370,200,99,49.5
Auditorium A,2026-07-26,14:00,Course 470,200,128,64.0
Seminar 1,2026-07-21,10:00,Course 415,100,92,92.0
Auditorium A,2026-07-26,14:00,Course 439,100,40,40.0
Lab 1,2026-07-21,08:00,Course 293,60,38,63.3
Seminar 1,2026-07-06,08:00,Course 327,60,27,45.0
Room 204,2026-07-10,08:00,Course 333,100,46,46.0
Lab 2,2026-07-17,12:00,Course 141,60,33,55.0
Lab 1,2026-07-20,12:00,Course 434,30,27,90.0
Room 101,2026-07-06,12:00,Course 142,40,34,85.0
Lab 2,2026-07-14,10:00,Course 426,200,88,44.0
Auditorium A,2026-07-02,12:00,Course 437,40,15,37.5
Room 204,2026-07-24,08:00,Course 183,40,18,45.0
Auditorium A,2026-07-27,10:00,Course 306,60,22,36.7
Room 204,2026-07-05,14:00,Course 485,60,14,23.3
Room 101,2026-07-01,14:00,Course 141,200,101,50.5
Auditorium A,2026-07-20,14:00,Course 411,100,14,14.0
Room 101,2026-07-01,10:00,Course 264,60,7,11.7
Room 101,2026-07-27,12:00,Course 227,200,177,88.5
Auditorium A,2026-07-17,12:00,Course 240,30,16,53.3
Seminar 1,2026-07-04,08:00,Course 256,40,31,77.5
Room 101,2026-07-03,08:00,Course 310,30,14,46.7
Room 101,2026-07-16,10:00,Course 239,100,42,42.0
Auditorium A,2026-07-24,12:00,Course 240,40,37,92.5
Seminar 1,2026-07-08,12:00,Course 426,60,35,58.3
Lab 2,2026-07-23,08:00,Course 277,100,26,26.0
Room 204,2026-07-17,14:00,Course 266,200,181,90.5
Lab 2,2026-07-06,08:00,Course 349,40,3,7.5
Room 204,2026-07-19,14:00,Course 105,100,23,23.0
Lab 1,2026-07-15,10:00,Course 249,60,49,81.7
Seminar 1,2026-07-08,12:00,Course 276,40,24,60.0
Seminar 1,2026-07-14,14:00,Course 242,60,54,90.0
Lab 2,2026-07-24,10:00,Course 109,200,122,61.0
Room 204,2026-07-08,08:00,Course 472,60,34,56.7
Lab 2,2026-07-08,10:00,Course 356,60,3,5.0
Auditorium A,2026-07-03,10:00,Course 279,100,86,86.0
Lab 2,2026-07-18,12:00,Course 363,40,14,35.0
Lab 1,2026-07-11,14:00,Course 117,200,115,57.5
Lab 1,2026-07-04,12:00,Course 242,40,36,90.0
Room 204,2026-07-14,08:00,Course 492,100,72,72.0
Seminar 1,2026-07-11,08:00,Course 101,200,137,68.5
Conference 1,2026-07-11,10:00,Course 413,30,6,20.0
Room 101,2026-07-04,10:00,Course 413,40,5,12.5
Lab 1,2026-07-26,10:00,Course 443,100,25,25.0
Lab 1,2026-07-21,08:00,Course 224,60,5,8.3
Auditorium A,2026-07-08,14:00,Course 376,200,2,1.0
Room 204,2026-07-28,12:00,Course 226,30,26,86.7
Room 101,2026-07-04,12:00,Course 255,200,148,74.0
Lab 2,2026-07-15,14:00,Course 158,30,11,36.7
Room 204,2026-07-02,14:00,Course 314,30,9,30.0
Lab 1,2026-07-20,10:00,Course 423,40,5,12.5
Seminar 1,2026-07-24,14:00,Course 268,40,18,45.0
Lab 1,2026-07-10,12:00,Course 497,60,25,41.7
Room 101,2026-07-27,08:00,Course 262,100,37,37.0
Auditorium A,2026-07-28,14:00,Course 161,30,27,90.0
Conference 1,2026-07-12,08:00,Course 128,100,19,19.0
Auditorium A,2026-07-01,14:00,Course 284,30,6,20.0
Conference 1,2026-07-11,08:00,Course 464,100,49,49.0
Room 101,2026-07-19,10:00,Course 395,200,90,45.0
Seminar 1,2026-07-17,14:00,Course 486,30,1,3.3
Auditorium A,2026-07-14,08:00,Course 270,60,29,48.3
Lab 1,2026-07-09,14:00,Course 309,60,48,80.0
Room 204,2026-07-22,10:00,Course 308,100,96,96.0
Room 101,2026-07-15,12:00,Course 383,200,26,13.0
Lab 1,2026-07-03,14:00,Course 417,100,64,64.0
Auditorium A,2026-07-09,10:00,Course 266,200,80,40.0
Lab 1,2026-07-02,12:00,Course 481,60,46,76.7
Lab 2,2026-07-17,08:00,Course 105,40,11,27.5
Conference 1,2026-07-02,08:00,Course 226,100,73,73.0
Seminar 1,2026-07-28,10:00,Course 219,200,166,83.0
Conference 1,2026-07-14,10:00,Course 428,100,83,83.0
Auditorium A,2026-07-16,14:00,Course 363,30,22,73.3
Seminar 1,2026-07-18,12:00,Course 313,60,37,61.7
Conference 1,2026-07-14,08:00,Course 477,30,0,0.0
Conference 1,2026-07-26,08:00,Course 308,60,42,70.0
Room 101,2026-07-26,08:00,Course 177,60,14,23.3
Lab 1,2026-07-12,08:00,Course 188,200,134,67.0
Room 101,2026-07-22,08:00,Course 335,40,19,47.5
Seminar 1,2026-07-08,14:00,Course 178,40,34,85.0
Conference 1,2026-07-12,14:00,Course 447,30,11,36.7
Lab 2,2026-07-16,12:00,Course 251,200,163,81.5
Seminar 1,2026-07-11,12:00,Course 485,200,167,83.5
Seminar 1,2026-07-16,08:00,Course 260,200,172,86.0
Room 204,2026-07-27,14:00,Course 456,60,52,86.7
Conference 1,2026-07-02,12:00,Course 459,200,72,36.0
Lab 1,2026-07-28,12:00,Course 421,100,40,40.0
Lab 2,2026-07-25,12:00,Course 274,60,22,36.7
Room 204,2026-07-03,14:00,Course 409,40,32,80.0
Room 101,2026-07-19,14:00,Course 177,40,29,72.5
Seminar 1,2026-07-14,14:00,Course 115,100,3,3.0
Lab 2,2026-07-26,14:00,Course 121,100,77,77.0
Room 204,2026-07-22,10:00,Course 494,200,9,4.5
Conference 1,2026-07-12,12:00,Course 284,100,96,96.0
Lab 1,2026-07-13,14:00,Course 420,40,1,2.5
Lab 2,2026-07-15,14:00,Course 500,30,22,73.3
Room 101,2026-07-25,10:00,Course 340,40,32,80.0
Auditorium A,2026-07-13,08:00,Course 103,60,12,20.0
Room 101,2026-07-16,10:00,Course 475,100,98,98.0
Auditorium A,2026-07-23,14:00,Course 292,200,80,40.0
Auditorium A,2026-07-28,12:00,Course 185,40,17,42.5
Room 101,2026-07-16,08:00,Course 266,200,193,96.5
Lab 1,2026-07-26,12:00,Course 458,100,36,36.0
Auditorium A,2026-07-06,10:00,Course 272,40,4,10.0
Seminar 1,2026-07-23,10:00,Course 486,200,5,2.5
Lab 1,2026-07-18,10:00,Course 340,60,3,5.0
Room 101,2026-07-15,12:00,Course 450,30,26,86.7
Seminar 1,2026-07-18,08:00,Course 236,100,42,42.0
Room 204,2026-07-03,14:00,Course 497,100,27,27.0
Conference 1,2026-07-22,14:00,Course 121,60,55,91.7
Auditorium A,2026-07-27,14:00,Course 322,100,39,39.0
Seminar 1,2026-07-22,14:00,Course 346,30,23,76.7
Lab 2,2026-07-15,08:00,Course 436,30,4,13.3
Lab 1,2026-07-24,10:00,Course 417,60,26,43.3
Lab 1,2026-07-06,08:00,Course 111,30,26,86.7
Auditorium A,2026-07-22,10:00,Course 351,60,37,61.7
Lab 2,2026-07-21,14:00,Course 338,100,46,46.0
Seminar 1,2026-07-15,12:00,Course 458,40,30,75.0
Lab 1,2026-07-01,12:00,Course 362,100,22,22.0
Lab 1,2026-07-04,10:00,Course 379,100,17,17.0
Auditorium A,2026-07-22,08:00,Course 358,40,39,97.5
Room 101,2026-07-15,10:00,Course 464,100,93,93.0
Seminar 1,2026-07-25,10:00,Course 424,200,67,33.5
Seminar 1,2026-07-19,12:00,Course 413,40,10,25.0
Lab 1,2026-07-04,08:00,Course 412,200,169,84.5
Seminar 1,2026-07-18,08:00,Course 167,60,30,50.0
Conference 1,2026-07-24,10:00,Course 209,40,12,30.0
Lab 2,2026-07-20,14:00,Course 403,200,127,63.5
Room 204,2026-07-25,12:00,Course 277,30,17,56.7
Conference 1,2026-07-08,10:00,Course 182,40,21,52.5
Room 101,2026-07-21,10:00,Course 393,60,37,61.7
Auditorium A,2026-07-02,12:00,Course 132,100,45,45.0
Room 101,2026-07-05,12:00,Course 266,200,72,36.0
Lab 2,2026-07-22,12:00,Course 175,40,25,62.5
Conference 1,2026-07-03,12:00,Course 231,200,159,79.5
Conference 1,2026-07-27,14:00,Course 325,200,191,95.5
Lab 2,2026-07-11,12:00,Course 257,100,30,30.0
Auditorium A,2026-07-04,10:00,Course 418,40,20,50.0
Conference 1,2026-07-11,14:00,Course 357,60,41,68.3
Lab 1,2026-07-22,14:00,Course 403,40,8,20.0
Auditorium A,2026-07-14,08:00,Course 357,40,34,85.0
Lab 2,2026-07-02,14:00,Course 154,30,24,80.0
Seminar 1,2026-07-16,10:00,Course 303,40,36,90.0
Auditorium A,2026-07-13,14:00,Course 494,100,73,73.0
Conference 1,2026-07-02,08:00,Course 237,60,20,33.3
Auditorium A,2026-07-01,12:00,Course 392,200,38,19.0
Seminar 1,2026-07-04,10:00,Course 135,30,23,76.7
Seminar 1,2026-07-01,08:00,Course 405,100,84,84.0
Lab 1,2026-07-18,08:00,Course 240,100,22,22.0
Room 101,2026-07-11,12:00,Course 221,100,52,52.0
Seminar 1,2026-07-12,12:00,Course 383,30,8,26.7
Lab 2,2026-07-09,10:00,Course 159,200,2,1.0
Lab 1,2026-07-23,12:00,Course 153,30,27,90.0
Conference 1,2026-07-21,14:00,Course 433,30,8,26.7
Room 204,2026-07-12,10:00,Course 303,40,1,2.5
Conference 1,2026-07-03,08:00,Course 433,200,20,10.0
Room 204,2026-07-25,14:00,Course 434,60,46,76.7
Lab 2,2026-07-09,12:00,Course 232,60,32,53.3
Room 101,2026-07-05,12:00,Course 162,40,15,37.5
Lab 1,2026-07-25,10:00,Course 398,200,163,81.5
Room 204,2026-07-21,12:00,Course 271,60,27,45.0
Room 204,2026-07-21,14:00,Course 492,60,5,8.3
Lab 2,2026-07-22,12:00,Course 278,60,48,80.0
Auditorium A,2026-07-12,14:00,Course 283,100,72,72.0
Lab 2,2026-07-15,10:00,Course 282,30,17,56.7
Seminar 1,2026-07-26,14:00,Course 391,200,74,37.0
Seminar 1,2026-07-27,12:00,Course 447,60,32,53.3
Conference 1,2026-07-09,10:00,Course 243,60,21,35.0
Conference 1,2026-07-08,12:00,Course 341,30,16,53.3
Lab 2,2026-07-11,14:00,Course 306,100,77,77.0
Room 204,2026-07-02,08:00,Course 147,40,18,45.0
Conference 1,2026-07-11,14:00,Course 356,100,93,93.0
Lab 2,2026-07-05,08:00,Course 350,60,49,81.7
Auditorium A,2026-07-10,10:00,Course 364,60,52,86.7
Seminar 1,2026-07-19,12:00,Course 288,100,97,97.0
Conference 1,2026-07-01,12:00,Course 378,60,38,63.3
Conference 1,2026-07-22,14:00,Course 425,30,13,43.3
Seminar 1,2026-07-05,12:00,Course 299,40,28,70.0
Lab 2,2026-07-16,10:00,Course 171,40,1,2.5
Seminar 1,2026-07-03,14:00,Course 169,60,9,15.0
Seminar 1,2026-07-23,12:00,Course 485,60,25,41.7
Seminar 1,2026-07-10,08:00,Course 138,40,14,35.0
Room 204,2026-07-13,14:00,Course 299,30,13,43.3
Seminar 1,2026-07-10,14:00,Course 163,200,158,79.0
Lab 1,2026-07-28,10:00,Course 254,60,29,48.3
Lab 2,2026-07-23,12:00,Course 287,60,3,5.0
Lab 1,2026-07-14,12:00,Course 369,40,2,5.0
Seminar 1,2026-07-25,14:00,Course 439,200,18,9.0
Room 101,2026-07-27,08:00,Course 357,200,3,1.5
Lab 2,2026-07-10,12:00,Course 236,200,126,63.0
Room 204,2026-07-07,08:00,Course 423,30,16,53.3
Lab 2,2026-07-15,14:00,Course 218,60,25,41.7
Lab 1,2026-07-23,10:00,Course 455,200,58,29.0
Lab 1,2026-07-05,14:00,Course 412,200,186,93.0
Lab 1,2026-07-19,08:00,Course 397,200,89,44.5
Auditorium A,2026-07-27,08:00,Course 391,30,19,63.3
Conference 1,2026-07-10,08:00,Course 480,200,102,51.0
Conference 1,2026-07-16,08:00,Course 371,60,28,46.7
Auditorium A,2026-07-17,14:00,Course 222,40,17,42.5
Room 101,2026-07-20,10:00,Course 286,60,39,65.0
Lab 1,2026-07-02,12:00,Course 271,60,7,11.7
Lab 1,2026-07-21,08:00,Course 395,40,31,77.5
Auditorium A,2026-07-01,08:00,Course 365,40,6,15.0
Seminar 1,2026-07-24,08:00,Course 221,40,21,52.5
Seminar 1,2026-07-28,14:00,Course 373,100,59,59.0
Lab 1,2026-07-02,10:00,Course 249,40,17,42.5
Seminar 1,2026-07-01,12:00,Course 261,40,31,77.5
Room 101,2026-07-07,12:00,Course 357,40,14,35.0
Room 204,2026-07-01,10:00,Course 184,30,18,60.0
Lab 1,2026-07-26,14:00,Course 331,200,16,8.0
Seminar 1,2026-07-11,14:00,Course 167,40,10,25.0
Seminar 1,2026-07-19,14:00,Course 143,200,96,48.0
Lab 1,2026-07-22,08:00,Course 158,200,57,28.5
Room 101,2026-07-17,12:00,Course 296,100,7,7.0
Conference 1,2026-07-15,14:00,Course 469,60,27,45.0
Lab 2,2026-07-26,10:00,Course 242,40,11,27.5
Seminar 1,2026-07-26,08:00,Course 188,100,89,89.0
Room 101,2026-07-09,10:00,Course 407,100,77,77.0
Conference 1,2026-07-14,12:00,Course 316,40,9,22.5
Conference 1,2026-07-20,08:00,Course 433,30,18,60.0
Lab 2,2026-07-14,08:00,Course 241,100,2,2.0
Lab 2,2026-07-13,12:00,Course 156,30,2,6.7
Lab 1,2026-07-07,08:00,Course 419,200,31,15.5
Auditorium A,2026-07-17,10:00,Course 356,60,42,70.0
Room 101,2026-07-27,10:00,Course 119,60,43,71.7
Seminar 1,2026-07-10,10:00,Course 481,200,157,78.5
Lab 2,2026-07-26,10:00,Course 463,60,58,96.7
Lab 1,2026-07-04,12:00,Course 293,40,39,97.5
Room 101,2026-07-27,14:00,Course 371,40,2,5.0
Conference 1,2026-07-21,12:00,Course 128,40,29,72.5
Room 101,2026-07-22,12:00,Course 351,30,17,56.7
Auditorium A,2026-07-06,12:00,Course 186,40,14,35.0
Room 101,2026-07-18,08:00,Course 138,100,1,1.0
Conference 1,2026-07-18,10:00,Course 191,40,14,35.0
Room 101,2026-07-11,14:00,Course 443,30,26,86.7
Auditorium A,2026-07-10,12:00,Course 408,100,17,17.0
Lab 1,2026-07-01,10:00,Course 129,200,71,35.5
Seminar 1,2026-07-26,12:00,Course 255,30,30,100.0
Room 101,2026-07-01,12:00,Course 107,60,37,61.7
Seminar 1,2026-07-20,12:00,Course 180,60,6,10.0
Auditorium A,2026-07-16,14:00,Course 202,60,19,31.7
Room 101,2026-07-23,10:00,Course 197,60,25,41.7
Lab 1,2026-07-18,12:00,Course 158,200,57,28.5
Conference 1,2026-07-06,10:00,Course 432,40,28,70.0
Room 101,2026-07-18,12:00,Course 255,40,20,50.0
Auditorium A,2026-07-13,10:00,Course 352,30,26,86.7
Lab 2,2026-07-23,12:00,Course 418,60,15,25.0
Auditorium A,2026-07-04,10:00,Course 460,30,4,13.3
Lab 1,2026-07-22,14:00,Course 310,200,172,86.0
Lab 2,2026-07-16,12:00,Course 235,30,16,53.3
Room 204,2026-07-23,14:00,Course 143,200,4,2.0
Room 204,2026-07-15,12:00,Course 181,60,25,41.7
Room 204,2026-07-16,12:00,Course 243,100,51,51.0
Seminar 1,2026-07-02,12:00,Course 105,40,9,22.5
Lab 2,2026-07-07,10:00,Course 380,60,47,78.3
Seminar 1,2026-07-08,14:00,Course 290,40,25,62.5
Lab 1,2026-07-06,14:00,Course 247,200,196,98.0
Auditorium A,2026-07-26,12:00,Course 215,40,3,7.5
Seminar 1,2026-07-25,14:00,Course 455,100,40,40.0
Lab 2,2026-07-12,12:00,Course 385,200,160,80.0
Seminar 1,2026-07-27,08:00,Course 328,100,40,40.0
Lab 1,2026-07-15,12:00,Course 461,60,3,5.0
Lab 1,2026-07-26,14:00,Course 389,100,32,32.0
Room 204,2026-07-26,10:00,Course 301,60,37,61.7
Room 204,2026-07-06,08:00,Course 142,40,8,20.0
Room 101,2026-07-21,08:00,Course 398,40,24,60.0
Room 101,2026-07-03,10:00,Course 307,60,58,96.7
