roll_no,name,branch,cgpa,technical_score,communication_score,internship_experience,readiness_index
CS37667,Student 35668,Computer Science,8.3,83.2,85.8,0,75.6
CS37668,Student 35669,Civil,5.2,49.7,83.8,0,55.4
CS37669,Student 35670,Electrical,7.8,71.6,46.9,2,60.3
CS37670,Student 35671,Computer Science,7.0,50.8,71.8,1,56.9
CS37671,Student 35672,Computer Science,9.3,42.4,90.9,2,64.8
CS37672,Student 35673,Mechanical,6.8,76.5,33.7,0,54.3
CS37673,Student 35674,Computer Science,7.6,59.3,62.5,0,57.7
CS37674,Student 35675,Mechanical,7.9,78.6,42.9,0,60.1
CS37675,Student 35676,Computer Science,5.6,71.4,84.9,1,66.2
CS37676,Student 35677,Electrical,6.1,33.1,63.6,3,47.5
CS37677,Student 35678,Electrical,7.7,80.4,93.1,2,77.5
CS37678,Student 35679,Electrical,8.9,90.9,91.6,3,84.6
CS37679,Student 35680,Civil,8.7,59.1,83.4,1,67.1
CS37680,Student 35681,Computer Science,7.6,86.0,51.2,3,68.0
CS37681,Student 35682,Civil,5.7,70.6,74.1,1,62.9
CS37682,Student 35683,Mechanical,6.0,74.3,55.3,3,61.3
CS37683,Student 35684,Civil,5.9,68.5,39.5,2,53.0
CS37684,Student 35685,Mechanical,7.8,38.1,94.7,2,61.3
CS37685,Student 35686,Mechanical,5.3,90.9,60.5,2,67.1
CS37686,Student 35687,Mechanical,5.9,73.7,36.9,2,54.4
CS37687,Student 35688,Mechanical,8.9,37.0,50.8,2,49.8
CS37688,Student 35689,Mechanical,7.2,62.4,82.5,0,64.1
CS37689,Student 35690,Civil,6.6,65.2,72.9,2,63.2
CS37690,Student 35691,Mechanical,8.4,51.6,62.2,1,57.1
CS37691,Student 35692,Civil,8.9,75.8,59.9,0,66.1
CS37692,Student 35693,Electrical,9.7,94.7,70.8,3,81.5
CS37693,Student 35694,Civil,7.9,92.3,81.7,0,77.2
CS37694,Student 35695,Computer Science,7.1,40.5,47.5,2,46.6
CS37695,Student 35696,Civil,8.9,66.9,99.5,2,76.4
CS37696,Student 35697,Mechanical,9.6,78.2,92.3,0,78.2
CS37697,Student 35698,Computer Science,6.2,50.7,82.4,1,58.4
CS37698,Student 35699,Computer Science,6.2,39.2,72.2,3,52.7
CS37699,Student 35700,Computer Science,5.9,66.6,82.5,2,65.2
CS37700,Student 35701,Computer Science,5.9,42.2,52.2,3,47.3
CS37701,Student 35702,Mechanical,10.0,49.8,94.3,3,71.2
CS37702,Student 35703,Electrical,9.5,35.1,62.5,0,51.8
CS37703,Student 35704,Computer Science,9.1,37.0,52.2,2,50.7
CS37704,Student 35705,Computer Science,9.1,72.0,74.1,1,70.2
CS37705,Student 35706,Computer Science,6.4,84.2,95.4,0,75.1
CS37706,Student 35707,Civil,5.4,88.4,87.7,3,75.5
CS37707,Student 35708,Computer Science,6.1,66.0,46.7,3,55.6
CS37708,Student 35709,Electrical,8.0,86.0,79.3,0,74.2
CS37709,Student 35710,Electrical,7.3,58.6,57.0,2,57.1
CS37710,Student 35711,Mechanical,6.2,50.9,54.5,1,50.1
CS37711,Student 35712,Computer Science,6.3,77.1,83.6,0,68.5
CS37712,Student 35713,Civil,8.0,72.0,69.9,2,67.8
CS37713,Student 35714,Computer Science,7.8,65.7,46.1,3,58.7
CS37714,Student 35715,Mechanical,9.0,97.3,83.4,2,83.9
CS37715,Student 35716,Mechanical,8.0,56.4,72.3,2,62.2
CS37716,Student 35717,Electrical,5.9,59.0,80.8,1,60.6
CS37717,Student 35718,Civil,6.2,63.9,95.4,3,69.6
CS37718,Student 35719,Computer Science,7.2,38.3,34.8,3,43.2
CS37719,Student 35720,Computer Science,10.0,86.6,45.9,2,70.4
CS37720,Student 35721,Electrical,6.2,30.3,50.3,1,40.6
CS37721,Student 35722,Mechanical,6.0,83.7,38.3,2,59.0
CS37722,Student 35723,Civil,6.7,73.8,69.9,1,64.9
CS37723,Student 35724,Electrical,6.9,60.7,54.2,0,54.3
CS37724,Student 35725,Computer Science,5.8,39.6,85.6,3,56.1
CS37725,Student 35726,Electrical,8.0,69.6,40.4,0,56.0
CS37726,Student 35727,Mechanical,5.6,94.1,53.3,0,64.8
CS37727,Student 35728,Mechanical,8.9,73.2,73.3,2,71.1
CS37728,Student 35729,Mechanical,5.8,78.8,87.3,2,71.3
CS37729,Student 35730,Electrical,8.3,71.6,60.8,0,63.5
CS37730,Student 35731,Civil,9.8,76.2,52.2,2,67.7
CS37731,Student 35732,Civil,5.8,73.4,73.0,2,64.9
CS37732,Student 35733,Civil,9.0,36.4,63.3,0,51.5
CS37733,Student 35734,Computer Science,8.9,42.5,32.9,3,47.7
CS37734,Student 35735,Electrical,5.8,88.9,74.0,2,71.4
CS37735,Student 35736,Mechanical,9.7,41.3,90.3,3,66.0
CS37736,Student 35737,Civil,7.9,74.9,66.3,1,66.7
CS37737,Student 35738,Electrical,5.8,53.6,96.9,0,62.1
CS37738,Student 35739,Computer Science,9.3,55.6,49.0,2,57.5
CS37739,Student 35740,Civil,8.5,84.7,75.8,2,75.6
CS37740,Student 35741,Mechanical,5.6,58.1,78.0,3,60.8
CS37741,Student 35742,Civil,6.8,81.7,84.0,2,73.5
CS37742,Student 35743,Computer Science,6.7,92.8,68.5,1,72.1
CS37743,Student 35744,Civil,5.2,66.7,61.5,0,55.5
CS37744,Student 35745,Civil,5.6,91.2,64.5,2,69.0
CS37745,Student 35746,Civil,7.1,94.8,73.9,3,77.3
CS37746,Student 35747,Civil,9.5,49.6,76.3,3,64.7
CS37747,Student 35748,Civil,9.9,87.3,93.4,3,85.7
CS37748,Student 35749,Computer Science,8.2,50.6,93.2,0,64.6
CS37749,Student 35750,Mechanical,5.4,74.8,90.1,1,68.8
CS37750,Student 35751,Computer Science,9.7,44.3,97.8,0,66.5
CS37751,Student 35752,Civil,5.3,44.9,46.8,2,44.6
CS37752,Student 35753,Mechanical,7.9,40.2,71.9,2,55.5
CS37753,Student 35754,Computer Science,9.2,33.4,37.2,1,43.9
CS37754,Student 35755,Electrical,8.6,58.0,98.0,1,70.8
CS37755,Student 35756,Mechanical,7.8,55.7,44.3,0,51.2
CS37756,Student 35757,Computer Science,7.2,91.3,44.1,3,67.2
CS37757,Student 35758,Civil,6.8,55.5,42.6,2,50.6
CS37758,Student 35759,Electrical,5.9,54.2,67.1,3,56.6
CS37759,Student 35760,Computer Science,5.1,78.9,45.6,2,57.4
CS37760,Student 35761,Electrical,5.9,62.1,53.1,0,52.6
CS37761,Student 35762,Electrical,6.2,30.4,72.9,0,46.4
CS37762,Student 35763,Mechanical,8.5,59.4,81.4,3,68.2
CS37763,Student 35764,Computer Science,6.3,59.9,60.2,3,57.6
CS37764,Student 35765,Mechanical,5.6,46.4,86.3,1,56.6
CS37765,Student 35766,Civil,6.4,54.3,59.0,1,53.2
CS37766,Student 35767,Electrical,7.0,73.2,67.0,3,66.4
CS37767,Student 35768,Civil,6.0,50.8,98.2,0,61.8
CS37768,Student 35769,Electrical,5.2,82.9,65.1,0,63.1
CS37769,Student 35770,Mechanical,10.0,60.3,62.5,2,64.9
CS37770,Student 35771,Civil,9.0,94.5,33.0,3,68.7
CS37771,Student 35772,Civil,5.6,89.7,84.8,3,75.5
CS37772,Student 35773,Mechanical,8.9,86.9,69.0,2,75.3
CS37773,Student 35774,Electrical,6.2,40.4,76.1,2,53.4
CS37774,Student 35775,Civil,5.2,58.1,63.6,2,54.7
CS37775,Student 35776,Computer Science,7.7,33.2,44.4,1,43.0
CS37776,Student 35777,Mechanical,7.9,63.8,43.8,3,57.5
CS37777,Student 35778,Computer Science,9.5,67.2,38.8,3,60.5
CS37778,Student 35779,Civil,6.6,77.1,78.8,3,70.7
CS37779,Student 35780,Computer Science,7.7,99.9,95.5,1,85.0
CS37780,Student 35781,Electrical,9.4,74.4,60.8,1,67.8
CS37781,Student 35782,Electrical,8.6,93.0,31.7,2,65.9
CS37782,Student 35783,Mechanical,8.0,85.2,90.8,2,79.3
CS37783,Student 35784,Electrical,9.0,83.7,72.2,3,76.1
CS37784,Student 35785,Mechanical,5.4,87.9,60.9,3,67.2
CS37785,Student 35786,Civil,6.8,57.1,41.8,1,50.0
CS37786,Student 35787,Mechanical,6.1,40.7,57.1,1,46.6
CS37787,Student 35788,Electrical,5.9,86.2,85.7,3,75.0
CS37788,Student 35789,Civil,6.0,76.9,70.9,3,67.0
CS37789,Student 35790,Computer Science,5.1,95.0,56.3,3,68.1
CS37790,Student 35791,Electrical,6.9,60.1,39.9,2,51.8
CS37791,Student 35792,Civil,9.3,93.9,78.5,2,81.7
CS37792,Student 35793,Mechanical,6.1,79.4,62.1,1,63.6
CS37793,Student 35794,Computer Science,5.5,55.6,43.3,0,46.2
CS37794,Student 35795,Computer Science,7.9,36.6,60.0,2,50.4
CS37795,Student 35796,Electrical,5.3,55.5,54.9,0,49.3
CS37796,Student 35797,Computer Science,8.0,42.7,64.8,2,54.5
CS37797,Student 35798,Electrical,6.7,73.1,85.7,0,68.4
CS37798,Student 35799,Civil,8.5,97.6,80.3,3,83.1
CS37799,Student 35800,Mechanical,7.5,95.8,78.9,3,80.0
CS37800,Student 35801,Mechanical,7.8,82.0,35.6,3,62.1
CS37801,Student 35802,Computer Science,6.9,90.8,51.3,1,66.5
CS37802,Student 35803,Civil,7.4,77.7,58.3,2,65.4
CS37803,Student 35804,Electrical,6.4,91.8,54.9,1,67.0
CS37804,Student 35805,Computer Science,5.1,81.6,46.9,0,56.9
CS37805,Student 35806,Computer Science,8.5,72.2,91.4,1,74.3
CS37806,Student 35807,Electrical,5.1,55.8,80.7,2,58.7
CS37807,Student 35808,Electrical,5.2,31.4,62.3,3,44.6
CS37808,Student 35809,Civil,9.4,39.1,71.7,3,59.0
CS37809,Student 35810,Electrical,7.7,68.8,55.6,0,59.6
CS37810,Student 35811,Computer Science,9.8,55.0,32.5,3,54.4
CS37811,Student 35812,Civil,8.4,36.8,91.7,2,61.0
CS37812,Student 35813,Electrical,5.8,88.3,49.7,2,63.8
CS37813,Student 35814,Computer Science,7.0,83.8,47.0,1,62.6
CS37814,Student 35815,Civil,9.8,48.3,48.7,2,55.5
CS37815,Student 35816,Mechanical,9.7,86.0,62.1,2,74.4
CS37816,Student 35817,Mechanical,5.8,33.7,71.1,3,49.4
CS37817,Student 35818,Electrical,7.5,66.9,42.4,0,54.5
CS37818,Student 35819,Civil,5.5,31.8,97.4,3,55.9
CS37819,Student 35820,Civil,8.0,54.2,50.1,0,52.7
CS37820,Student 35821,Computer Science,8.4,65.2,90.4,0,70.0
CS37821,Student 35822,Mechanical,8.4,70.4,83.6,0,70.0
CS37822,Student 35823,Civil,7.4,42.4,82.0,2,58.4
CS37823,Student 35824,Computer Science,5.0,71.7,46.8,2,54.7
CS37824,Student 35825,Civil,6.2,59.8,92.1,1,64.9
CS37825,Student 35826,Electrical,7.8,98.3,58.0,0,72.3
CS37826,Student 35827,Computer Science,9.3,86.7,83.5,3,81.3
CS37827,Student 35828,Computer Science,9.3,46.1,32.8,2,48.9
CS37828,Student 35829,Mechanical,9.3,49.1,96.8,2,69.3
CS37829,Student 35830,Mechanical,5.7,48.2,35.9,1,42.5
CS37830,Student 35831,Civil,5.6,66.1,95.2,2,68.2
CS37831,Student 35832,Computer Science,7.1,83.0,74.0,0,69.6
CS37832,Student 35833,Electrical,7.7,71.1,45.4,1,58.5
CS37833,Student 35834,Civil,6.4,100.0,53.0,3,71.7
CS37834,Student 35835,Mechanical,9.7,63.4,68.0,3,68.2
CS37835,Student 35836,Electrical,5.1,39.8,64.5,0,45.5
CS37836,Student 35837,Civil,7.4,40.8,96.1,3,63.0
CS37837,Student 35838,Computer Science,5.4,70.4,55.7,0,55.7
CS37838,Student 35839,Civil,7.6,52.7,52.8,3,55.1
CS37839,Student 35840,Mechanical,9.2,83.1,98.4,1,82.2
CS37840,Student 35841,Civil,8.6,67.8,45.0,1,58.8
CS37841,Student 35842,Computer Science,5.4,57.8,89.6,0,60.8
CS37842,Student 35843,Computer Science,9.1,82.2,34.7,3,64.5
CS37843,Student 35844,Civil,6.7,55.5,95.9,2,66.4
CS37844,Student 35845,Computer Science,9.1,50.4,42.2,1,52.0
CS37845,Student 35846,Electrical,5.8,39.5,61.1,0,45.7
CS37846,Student 35847,Computer Science,9.9,64.3,88.9,0,72.2
CS37847,Student 35848,Civil,8.6,60.7,69.9,0,62.5
CS37848,Student 35849,Electrical,6.2,66.1,45.3,1,53.4
CS37849,Student 35850,Civil,9.5,42.4,61.4,2,56.4
CS37850,Student 35851,Civil,5.1,39.8,94.1,0,54.4
CS37851,Student 35852,Computer Science,8.1,67.7,82.1,1,68.9
CS37852,Student 35853,Mechanical,7.0,50.7,40.6,1,47.5
CS37853,Student 35854,Electrical,5.7,31.6,60.3,3,45.1
CS37854,Student 35855,Computer Science,7.1,96.1,79.7,2,78.5
CS37855,Student 35856,Computer Science,7.3,70.1,85.9,3,71.4
CS37856,Student 35857,Electrical,8.4,33.7,91.0,3,60.6
CS37857,Student 35858,Electrical,8.8,86.9,72.0,1,75.0
CS37858,Student 35859,Mechanical,7.3,51.4,37.6,2,48.4
CS37859,Student 35860,Computer Science,9.9,82.3,38.7,2,66.3
CS37860,Student 35861,Civil,9.9,97.3,35.7,0,69.4
CS37861,Student 35862,Civil,7.9,69.4,34.0,3,56.8
CS37862,Student 35863,Mechanical,6.6,79.6,64.3,2,66.3
CS37863,Student 35864,Civil,9.6,80.2,73.5,0,73.3
CS37864,Student 35865,Civil,9.2,72.9,31.0,0,56.9
CS37865,Student 35866,Mechanical,9.8,87.8,40.8,0,67.0
CS37866,Student 35867,Computer Science,7.3,90.7,93.6,1,80.0
CS37867,Student 35868,Mechanical,5.6,92.8,69.4,3,72.1
CS37868,Student 35869,Mechanical,10.0,78.7,91.7,2,81.0
CS37869,Student 35870,Mechanical,9.9,94.5,99.3,2,89.4
CS37870,Student 35871,Mechanical,9.8,78.8,72.5,0,72.9
CS37871,Student 35872,Civil,8.4,47.4,65.7,2,57.5
CS37872,Student 35873,Mechanical,9.1,35.2,68.4,3,55.8
CS37873,Student 35874,Computer Science,9.4,30.7,96.7,0,60.1
CS37874,Student 35875,Mechanical,8.8,47.3,41.8,3,52.1
CS37875,Student 35876,Civil,7.1,69.2,81.8,0,66.4
CS37876,Student 35877,Civil,6.4,47.5,54.1,2,50.0
CS37877,Student 35878,Electrical,6.2,99.8,56.2,2,71.2
CS37878,Student 35879,Computer Science,7.9,84.8,61.2,0,68.1
CS37879,Student 35880,Mechanical,8.8,72.8,57.7,2,66.0
CS37880,Student 35881,Electrical,6.1,75.3,34.6,3,55.7
CS37881,Student 35882,Computer Science,7.6,60.1,49.6,2,56.1
CS37882,Student 35883,Mechanical,5.9,37.5,55.1,0,43.3
CS37883,Student 35884,Computer Science,6.2,50.4,63.4,1,52.6
CS37884,Student 35885,Computer Science,7.5,53.4,99.0,1,67.1
CS37885,Student 35886,Civil,9.4,30.1,98.8,3,63.5
CS37886,Student 35887,Electrical,7.4,48.0,84.3,2,61.3
CS37887,Student 35888,Mechanical,8.6,38.9,97.1,1,62.9
CS37888,Student 35889,Civil,6.5,38.6,73.5,2,52.5
CS37889,Student 35890,Electrical,6.6,69.1,97.4,0,70.1
CS37890,Student 35891,Electrical,6.0,61.6,56.2,0,53.5
CS37891,Student 35892,Mechanical,5.2,60.8,38.3,0,46.2
CS37892,Student 35893,Civil,8.8,45.1,33.1,2,47.6
CS37893,Student 35894,Computer Science,8.9,81.7,57.9,2,69.8
CS37894,Student 35895,Electrical,5.4,94.8,53.7,0,64.8
CS37895,Student 35896,Electrical,5.8,72.9,38.3,3,55.3
CS37896,Student 35897,Computer Science,7.0,90.1,37.9,3,64.4
CS37897,Student 35898,Civil,7.2,95.8,75.9,3,78.5
CS37898,Student 35899,Electrical,9.8,31.3,92.0,2,61.7
CS37899,Student 35900,Electrical,8.2,75.3,46.6,1,61.5
CS37900,Student 35901,Mechanical,7.6,80.4,52.8,3,66.2
CS37901,Student 35902,Civil,8.9,49.2,72.5,3,62.2
CS37902,Student 35903,Electrical,6.3,63.8,84.5,3,66.5
CS37903,Student 35904,Computer Science,9.3,42.1,37.6,0,46.7
CS37904,Student 35905,Civil,6.8,74.2,50.2,1,59.3
CS37905,Student 35906,Computer Science,6.4,68.2,37.1,3,54.2
CS37906,Student 35907,Computer Science,8.8,63.8,60.8,3,64.4
CS37907,Student 35908,Electrical,9.2,62.7,57.3,3,63.7
CS37908,Student 35909,Computer Science,9.1,43.1,97.6,2,66.7
CS37909,Student 35910,Mechanical,6.4,74.2,92.0,0,70.1
CS37910,Student 35911,Electrical,5.5,30.6,67.6,1,44.5
CS37911,Student 35912,Mechanical,9.0,45.6,78.7,1,60.9
CS37912,Student 35913,Electrical,5.8,85.6,30.2,1,55.9
CS37913,Student 35914,Civil,9.4,88.0,41.8,2,68.5
CS37914,Student 35915,Civil,9.5,59.3,36.1,1,54.5
CS37915,Student 35916,Civil,5.6,86.1,64.7,0,65.0
CS37916,Student 35917,Computer Science,6.5,69.6,32.5,2,52.6
CS37917,Student 35918,Computer Science,7.2,41.2,44.1,2,46.1
CS37918,Student 35919,Mechanical,9.2,70.1,80.4,1,71.6
CS37919,Student 35920,Mechanical,9.3,90.2,70.7,1,76.9
CS37920,Student 35921,Civil,8.5,70.4,53.6,0,61.2
CS37921,Student 35922,Civil,7.5,90.7,39.2,3,66.0
CS37922,Student 35923,Civil,6.3,53.5,38.2,1,46.5
CS37923,Student 35924,Electrical,9.9,31.9,78.5,3,59.1
CS37924,Student 35925,Electrical,8.9,99.3,92.5,2,87.3
CS37925,Student 35926,Mechanical,5.9,68.8,44.4,0,52.6
CS37926,Student 35927,Civil,9.6,37.3,37.0,0,45.2
CS37927,Student 35928,Mechanical,7.7,71.3,86.6,2,71.9
CS37928,Student 35929,Mechanical,7.4,99.5,84.4,0,79.9
CS37929,Student 35930,Mechanical,5.8,71.3,76.4,3,66.0
CS37930,Student 35931,Computer Science,9.4,74.1,87.3,3,77.6
CS37931,Student 35932,Computer Science,8.8,83.8,36.9,2,64.2
CS37932,Student 35933,Civil,7.6,65.7,65.7,2,63.2
CS37933,Student 35934,Mechanical,6.9,96.9,45.4,0,66.2
CS37934,Student 35935,Mechanical,8.1,71.8,43.2,2,59.9
CS37935,Student 35936,Computer Science,6.8,81.9,47.4,0,60.6
CS37936,Student 35937,Computer Science,5.6,52.8,78.0,0,55.7
CS37937,Student 35938,Computer Science,5.4,60.9,66.1,3,58.0
CS37938,Student 35939,Civil,8.6,77.7,62.9,0,67.2
CS37939,Student 35940,Electrical,6.1,74.6,30.8,3,54.3
CS37940,Student 35941,Computer Science,7.2,50.8,75.5,1,58.4
CS37941,Student 35942,Civil,7.8,77.1,51.4,3,64.9
CS37942,Student 35943,Electrical,5.6,93.4,71.2,0,69.9
CS37943,Student 35944,Civil,8.0,54.9,88.5,1,65.5
CS37944,Student 35945,Electrical,5.5,89.6,68.2,0,67.3
CS37945,Student 35946,Electrical,9.4,73.5,56.2,3,68.1
CS37946,Student 35947,Computer Science,5.2,42.4,47.4,3,44.6
CS37947,Student 35948,Civil,9.7,62.3,91.9,2,73.9
CS37948,Student 35949,Computer Science,7.1,47.2,82.8,1,58.9
CS37949,Student 35950,Civil,6.5,98.9,64.9,1,73.0
CS37950,Student 35951,Electrical,7.8,40.2,50.2,0,46.7
CS37951,Student 35952,Electrical,8.8,66.9,98.0,0,73.8
CS37952,Student 35953,Civil,8.4,98.7,31.8,0,65.8
CS37953,Student 35954,Mechanical,5.6,67.1,38.8,3,52.7
CS37954,Student 35955,Mechanical,8.6,64.7,63.6,2,64.2
CS37955,Student 35956,Electrical,9.2,75.1,71.1,2,71.8
CS37956,Student 35957,Mechanical,8.4,66.0,94.8,2,73.6
CS37957,Student 35958,Civil,8.0,55.0,55.0,2,56.5
CS37958,Student 35959,Computer Science,8.4,66.4,83.0,0,68.3
CS37959,Student 35960,Electrical,6.5,47.4,72.5,1,54.7
CS37960,Student 35961,Electrical,6.5,99.6,81.8,3,80.4
CS37961,Student 35962,Computer Science,9.7,84.5,46.8,2,69.2
CS37962,Student 35963,Mechanical,9.5,62.1,57.0,0,60.9
CS37963,Student 35964,Computer Science,7.1,91.0,35.2,2,63.2
CS37964,Student 35965,Electrical,6.9,75.2,94.4,3,75.2
CS37965,Student 35966,Mechanical,9.7,95.8,69.3,0,78.5
CS37966,Student 35967,Civil,6.5,41.0,87.5,2,57.7
CS37967,Student 35968,Computer Science,6.2,47.8,77.2,0,54.7
CS37968,Student 35969,Computer Science,9.2,34.0,93.6,2,62.1
CS37969,Student 35970,Civil,6.8,90.8,88.6,1,77.5
CS37970,Student 35971,Electrical,5.3,96.8,46.9,0,63.4
CS37971,Student 35972,Computer Science,9.6,98.3,53.4,1,75.5
CS37972,Student 35973,Civil,5.3,99.0,75.0,2,74.7
CS37973,Student 35974,Electrical,9.9,48.2,90.9,1,67.3
CS37974,Student 35975,Mechanical,8.8,84.3,96.9,3,83.4
CS37975,Student 35976,Computer Science,8.2,86.2,84.6,1,77.3
CS37976,Student 35977,Electrical,8.8,47.2,70.0,2,59.5
CS37977,Student 35978,Electrical,8.1,96.7,40.1,3,69.9
CS37978,Student 35979,Civil,6.1,70.9,88.7,0,67.2
CS37979,Student 35980,Civil,9.0,95.5,91.0,3,86.5
CS37980,Student 35981,Computer Science,9.0,50.7,38.9,2,52.0
CS37981,Student 35982,Mechanical,7.6,89.1,92.2,2,80.5
CS37982,Student 35983,Electrical,9.1,64.2,51.9,2,61.5
CS37983,Student 35984,Computer Science,5.4,80.8,35.6,0,53.8
CS37984,Student 35985,Civil,9.7,92.5,85.0,3,84.9
CS37985,Student 35986,Electrical,7.5,59.3,84.7,0,64.1
CS37986,Student 35987,Computer Science,7.5,80.7,94.6,0,75.7
CS37987,Student 35988,Civil,5.3,84.5,51.6,1,60.9
CS37988,Student 35989,Civil,6.9,81.6,98.8,3,79.1
CS37989,Student 35990,Computer Science,6.2,36.6,66.7,1,48.1
CS37990,Student 35991,Computer Science,7.7,34.3,77.7,1,53.4
CS37991,Student 35992,Electrical,5.5,86.3,46.0,2,61.3
CS37992,Student 35993,Mechanical,8.2,67.3,64.1,0,62.5
CS37993,Student 35994,Mechanical,6.4,66.9,96.1,0,68.4
CS37994,Student 35995,Computer Science,5.4,87.7,79.3,0,69.7
CS37995,Student 35996,Electrical,7.4,61.4,55.0,3,58.9
CS37996,Student 35997,Electrical,6.2,64.3,55.6,1,55.8
CS37997,Student 35998,Electrical,9.0,52.1,40.5,3,54.0
CS37998,Student 35999,Mechanical,7.4,56.0,54.4,1,54.5
CS37999,Student 36000,Civil,5.1,66.3,63.6,3,58.8
CS38000,Student 36001,Mechanical,5.2,67.1,85.9,1,64.0
CS38001,Student 36002,Mechanical,9.7,32.5,73.4,3,57.4
CS38002,Student 36003,Computer Science,9.0,72.4,82.5,1,72.7
CS38003,Student 36004,Civil,8.3,48.4,94.8,3,67.4
CS38004,Student 36005,Electrical,9.9,66.2,81.2,2,72.6
CS38005,Student 36006,Civil,9.6,87.7,85.2,0,79.8
CS38006,Student 36007,Mechanical,8.3,58.1,67.2,2,62.0
CS38007,Student 36008,Electrical,5.1,34.3,61.7,1,43.4
CS38008,Student 36009,Computer Science,9.0,38.4,71.4,1,55.8
CS38009,Student 36010,Mechanical,9.1,34.4,46.1,2,47.8
CS38010,Student 36011,Civil,9.8,41.7,83.4,3,64.3
CS38011,Student 36012,Civil,5.8,52.5,57.9,2,52.0
CS38012,Student 36013,Electrical,8.3,82.0,50.5,0,64.6
CS38013,Student 36014,Mechanical,6.9,34.1,82.0,1,53.0
CS38014,Student 36015,Electrical,6.6,66.5,73.8,0,61.9
CS38015,Student 36016,Mechanical,6.3,72.2,31.0,3,53.8
CS38016,Student 36017,Mechanical,6.6,61.9,52.4,3,56.7
CS38017,Student 36018,Mechanical,8.9,82.2,76.3,1,74.6
CS38018,Student 36019,Electrical,8.1,82.0,40.8,0,61.2
CS38019,Student 36020,Civil,9.8,40.7,79.0,3,62.6
CS38020,Student 36021,Electrical,6.2,45.6,87.3,2,58.8
CS38021,Student 36022,Electrical,9.8,53.6,57.6,0,58.3
CS38022,Student 36023,Computer Science,5.1,37.1,54.3,2,43.3
CS38023,Student 36024,Electrical,8.1,65.6,71.7,2,66.0
CS38024,Student 36025,Computer Science,7.8,54.4,55.4,2,56.0
CS38025,Student 36026,Civil,9.4,72.2,87.0,0,73.8
CS38026,Student 36027,Electrical,6.4,64.4,72.5,2,62.3
CS38027,Student 36028,Civil,7.8,88.5,73.2,0,73.0
CS38028,Student 36029,Electrical,8.4,41.0,95.2,0,61.8
CS38029,Student 36030,Mechanical,6.9,62.8,43.3,3,54.9
CS38030,Student 36031,Mechanical,5.8,79.7,48.9,1,59.1
CS38031,Student 36032,Civil,5.6,57.0,96.9,1,64.1
CS38032,Student 36033,Civil,8.3,33.1,94.3,0,58.1
CS38033,Student 36034,Electrical,6.5,91.0,44.2,1,63.7
CS38034,Student 36035,Electrical,5.6,83.3,33.6,2,56.6
CS38035,Student 36036,Civil,7.6,38.9,35.6,3,44.4
CS38036,Student 36037,Electrical,9.2,74.2,62.0,0,66.7
CS38037,Student 36038,Civil,8.9,88.6,51.1,3,71.6
CS38038,Student 36039,Computer Science,7.1,33.1,93.1,2,57.4
CS38039,Student 36040,Mechanical,8.0,57.5,87.3,0,65.2
CS38040,Student 36041,Civil,7.4,73.2,35.7,0,54.8
CS38041,Student 36042,Civil,8.7,65.1,70.8,0,64.7
CS38042,Student 36043,Computer Science,6.0,85.3,39.1,2,59.8
CS38043,Student 36044,Computer Science,6.7,53.8,64.9,2,56.4
CS38044,Student 36045,Computer Science,7.2,74.1,45.0,1,58.5
CS38045,Student 36046,Civil,6.2,50.2,90.5,2,61.6
CS38046,Student 36047,Mechanical,5.3,59.7,41.3,2,48.9
CS38047,Student 36048,Electrical,8.6,98.0,63.2,2,77.4
CS38048,Student 36049,Civil,5.2,61.3,81.2,1,60.3
CS38049,Student 36050,Mechanical,5.7,54.6,63.4,1,53.3
CS38050,Student 36051,Computer Science,5.9,31.8,54.2,0,40.8
CS38051,Student 36052,Mechanical,7.1,32.4,68.6,0,47.7
CS38052,Student 36053,Computer Science,9.3,33.9,88.9,0,58.8
CS38053,Student 36054,Mechanical,5.7,53.5,83.3,0,57.8
CS38054,Student 36055,Civil,7.1,33.7,72.3,2,51.4
CS38055,Student 36056,Mechanical,5.1,63.1,46.9,2,51.5
CS38056,Student 36057,Civil,7.3,82.4,70.8,2,70.8
CS38057,Student 36058,Electrical,7.7,90.9,70.6,3,75.9
CS38058,Student 36059,Electrical,8.1,73.8,46.3,0,59.6
CS38059,Student 36060,Mechanical,8.3,75.0,77.8,3,72.9
CS38060,Student 36061,Computer Science,7.6,66.0,79.1,0,65.3
CS38061,Student 36062,Electrical,9.8,54.7,56.1,2,60.3
CS38062,Student 36063,Civil,7.4,41.0,49.8,3,49.1
CS38063,Student 36064,Electrical,9.2,95.4,94.2,1,85.8
CS38064,Student 36065,Civil,6.5,52.5,93.1,1,62.9
CS38065,Student 36066,Civil,6.5,92.0,34.6,1,61.2
CS38066,Student 36067,Mechanical,7.9,46.4,95.2,0,62.9
CS38067,Student 36068,Mechanical,5.1,75.8,95.1,3,72.0
CS38068,Student 36069,Electrical,5.8,89.6,95.8,1,77.2
CS38069,Student 36070,Mechanical,7.6,66.4,31.6,2,53.2
CS38070,Student 36071,Computer Science,8.8,64.6,40.9,1,56.7
CS38071,Student 36072,Computer Science,8.2,59.7,36.4,1,52.2
CS38072,Student 36073,Civil,8.0,73.4,71.8,0,66.9
CS38073,Student 36074,Civil,5.9,79.8,49.7,1,59.6
CS38074,Student 36075,Computer Science,6.5,45.9,84.1,2,58.6
